Rank,Name,Score
1,Microsoft,72.97
2,The Walt Disney Company,72.83
3,Google,72.7
4,BMW,72.14
5,Daimler (Mercedes-Benz),70.65
6,Sony,69.49
7,Intel,69.32
8,Volksw agen,69.29
9,Apple,69.21
10,Nestl?,69.00
11,LEGO Group,68.77
12,Rolex,68.45
13,Canon,68.02
14,Kellogg Company,67.90
15,Johnson & Johnson,67.80
16,Colgate-Palmolive,67.62
17,Danone,67.25
18,IBM,67.09
19,Philips Electronics,67.03
20,Honda Motor,67.03
21,Toyota,66.96
22,Adidas Group,66.90
23,Michel?n,66.75
24,L'Or?al,66.66
25,Hew lett-Packard,66.51
26,Samsung Electronics,66.5
27,The Coca-Cola Company,66.4
,28 Amazon.com,66.2
29,Procter & Gamble,66.1
30,Ferrero,66.1
31,Giorgio Armani Group,66.1
32,Volvo Group,66.1
33,Bridgestone,65.9
34,Deutsche Luf thansa,65.9
35,Electrolux,65.9
36,Siemens,65.8
37,IKEA,65.8
38,Oracle,65.7
39,Eli Lilly,65.6
40,Marriott International,65.6
41,SAS (Scandinavian Airlines),65.6
42,Goodyear,65.5
43,3M,65.5
44,Whirlpool,65.4
45,General Electric,65.4
46,FedEx,65.3
47,Barilla,65.3
48,Abbott Laboratories,65.2
49,Kraf t Foods,65.2
50,Dell,65.2
51,Singapore Airlines,65.20
52,Cisco Systems,65.20
53,Pirelli,65.18
54,HJ Heinz,64.95
55,Nintendo,64.91
56,Heineken,64.86
57,LG Corporation,64.74
58,LVMH Group (Mo?t Hennessy-Louis Vuitton),64.69
59,Nokia,64.65
60,Bayer,64.59
61,Panasonic,64.53
62,Roche,64.51
63,General Mills,64.50
64,Toshiba,64.38
65,Unilever,64.15
66,Marks & Spencer Group,64.10
67,British Broadcasting Company (BBC),63.96
68,Diageo,63.94
69,Nike,63.90
70,Bristol-Myers Squibb,63.81
71,Sw atch Group,63.77
72,Ford Motor,63.76
73,Airbus,63.69
74,Fujif ilm,63.68
75,Xerox,63.5
76,UPS,63.4
77,ACER,63.3
78,Carlsberg Group,63.3
79,DuPont,63.0
80,eBay,63.0
81,Hertz Global Holdings,63.0
82,Starbucks Cof fee Company,62.9
83,Suzuki Motor,62.9
84,Qantas Airw ays,62.9
85,GlaxoSmithKline,62.7
86,Boeing,62.7
87,Sharp,62.5
88,Peugeot-Citroen,62.5
89,H&M,62.4
90,Air France-KLM,62.3
91,Lenovo Group,62.2
92,Hitachi,61.9
93,General Motors Company,61.9
94,Pf izer,61.7
95,Nissan Motor,61.7
96,Fujitsu,61.5
97,British Airw ays-Iberia (International Airlines Group),61.3
98,Zara (Inditex),61.1
99,PepsiCo,61.0
100,Bacardi,60.67
