Rank,Name,Score
1,BMW,78.39
2,The Walt Disney Company,77.76
3,Rolex,77.23
4,Google,77.15
5,Daimler (Mercedes-Benz),76.58
6,Sony,76.30
7,Microsof t,76.23
8,Canon,76.02
9,Nestl?,75.21
10,LEGO Group,75.02
11,Intel,74.98
12,Apple,74.65
13,Volksw agen,74.38
14,Adidas Group,74.05
15,Johnson & Johnson,73.56
16,Samsung Electronics,73.39
17,L'Or?al,73.37
18,Nike,72.81
19,Colgate-Palmolive,72.73
20,Philips Electronics,72.49
21,Michel?n,72.49
22,Amazon.com,72.32
23,Giorgio Armani Group,72.22
24,IBM,72.19
25,Kellogg Company,72.00
26,Danone,71.96
27,Goodyear,71.96
28,Bridgestone,71.88
29,Ferrero,71.66
30,Nokia,71.57
31,Hew lett-Packard,71.52
32,Panasonic,71.47
33,Pirelli,71.19
34,Barilla,71.02
35,Honda Motor,70.93
36,Nintendo,70.74
37,Toyota,70.49
38,3M,70.28
39,LVMH Group,70.11
40,Marriott International,70.11
41,Procter & Gamble,70.11
42,Volvo Group,70.05
43,Whirlpool,70.03
44,The Coca-Cola Company,70.02
45,FedEx,69.92
46,Electrolux,69.63
47,Kraf t Foods,69.57
48,IKEA,69.54
49,Siemens,69.34
50,Dell,69.29
51,HJ Heinz,69.22
52,Bayer,69.21
53,Heineken,69.13
54,Deutsche Luf thansa,69.10
55,Toshiba,69.00
56,General Electric,69.00
57,BBC,68.81
58,Unilever,68.78
59,Fujif ilm,68.69
60,Cisco Systems,68.66
61,Singapore Airlines,68.46
62,UPS,68.44
63,LG Corporation,68.40
64,Xerox,68.38
65,Ford Motor,68.12
66,Sw atch Group,68.02
67,Oracle,67.90
68,eBay,67.76
69,Roche,67.04
70,SAS (Scandinavian Airlines),67.04
71,Airbus,66.97
72,Abbott Laboratories,66.80
73,Sharp,66.78
74,ACER,66.65
75,Qantas Airw ays,66.57
76,Marks & Spencer Group,66.53
77,H&M,66.39
78,DuPont,66.33
79,General Mills,66.26
80,Starbucks Coffee Company,65.99
81,Eli Lilly,65.87
82,General Motors Company,65.85
83,Nissan Motor,65.82
84,Bristol-Myers Squibb,65.65
85,Suzuki Motor,65.53
86,Air France-KLM,65.46
87,Boeing,65.45
88,Carlsberg Group,65.45
89,Hitachi,65.40
90,British Airw ays-Iberia,65.30
91,Diageo,65.28
92,PepsiCo,65.10
93,Peugeot-Citroen,65.04
94,Bacardi,65.02
95,GlaxoSmithKline,64.87
96,Fujitsu,64.75
97,Zara (Inditex),64.71
98,Hertz Global Holdings,64.40
99,Pf izer,64.39
100,Lenovo Group,64.32
