WeGreen Nachhaltigkeits-Ranking: Beste Unternehmen,,,,
Branche Mode & Accessoires,,,,
Erstellt am 22.02.2014,,,,
,,,,
Rang,Unternehmen,Farbe,Note,Bewertung
1,Beyond Skin,gr?n,1,sehr gut
1,108 degrees fair organic,gr?n,1,sehr gut
1,BUND,gr?n,1,sehr gut
4,Tender Loving Clothing,gr?n,1.1,sehr gut
4,z?ndstoff,gr?n,1.1,sehr gut
6,Leela Cotton,gr?n,1.2,sehr gut
7,FellHerz,gr?n,1.3,sehr gut
8,SANYALA,gr?n,1.3,sehr gut
9,sense organics,gr?n,1.3,sehr gut
10,Pearls of Laja,gr?n,1.4,sehr gut
11,variomondo,gr?n,1.4,sehr gut
12,Blue Level,gr?n,1.4,sehr gut
13,Prancing Leopard Organics,gr?n,1.4,sehr gut
13,CROCWOOD,gr?n,1.4,sehr gut
15,nakedshirt,gr?n,1.4,sehr gut
16,Hess natur,gr?n,1.5,sehr gut
17,better merchandising,gr?n,1.5,sehr gut
18,Enamore,gr?n,1.5,sehr gut
19,Canvasco,gr?n,1.5,sehr gut
20,Thokk Thokk,gr?n,1.5,sehr gut
21,livingcrafts,gr?n,1.5,sehr gut
22,m?rtel.m?tze,gr?n,1.5,sehr gut
23,manomama,gr?n,1.6,gut
24,bleed organic clothing,gr?n,1.7,gut
25,Little Green Radicals,gr?n,1.7,gut
26,MINGA BERLIN,gr?n,1.7,gut
27,Continental Clothing,gr?n,1.7,gut
28,Green Baby,gr?n,1.7,gut
29,ROLEX,gr?n,1.8,gut
30,HempAge,gr?n,1.8,gut
31,supermarch?,gr?n,1.8,gut
31,GODITA,gr?n,1.8,gut
31,Supermarch?,gr?n,1.8,gut
34,gl?cksstoff,gr?n,1.8,gut
35,recolution,gr?n,1.8,gut
36,Katvig,gr?n,1.9,gut
37,Greenality,gr?n,1.9,gut
38,armedangels,gr?n,1.9,gut
39,ekn footwear,gr?n,1.9,gut
40,Living crafts,gr?n,1.9,gut
41,Piccalilly,gr?n,1.9,gut
42,Serendipity,gr?n,1.9,gut
43,Sture & Lisa,gr?n,1.9,gut
44,POZU,gr?n,2,gut
45,Veja,gr?n,2,gut
46,3FREUNDE,gr?n,2,gut
46,3FREUNDE,gr?n,2,gut
48,Hirschkind,gr?n,2,gut
49,Norrona,gr?n,2,gut
50,Trinchen & Klacks?,gr?n,2,gut
50,nonomo,gr?n,2,gut
50,Pat und Patty,gr?n,2,gut
53,Lana naturalwear,gr?n,2,gut
54,Wellicious,gr?n,2,gut
55,BATATA,gr?n,2.1,gut
56,Pickapooh,gr?n,2.1,gut
57,Picopoc,gr?n,2.1,gut
58,more ethics,gr?n,2.2,gut
58,Seidentraum,gr?n,2.2,gut
58,milch Basics,gr?n,2.2,gut
58,Frankonia ,gr?n,2.2,gut
58,eterna,gr?n,2.2,gut
63,MANDALA,gr?n,2.2,gut
64,MONKEE GENES,gr?n,2.2,gut
65,New Era Cap,gr?n,2.2,gut
66,solarcosa,gr?n,2.2,gut
67,Cotton People,gr?n,2.2,gut
68,disana,gr?n,2.2,gut
69,Mantis,gr?n,2.2,gut
70,loud + proud,gr?n,2.2,gut
71,Klean Kanteen,gr?n,2.3,knapp gut
72,Alnatura,gr?n,2.3,knapp gut
73,COS,gr?n,2.3,knapp gut
74,People Tree,gr?n,2.3,knapp gut
75,mycalm,gr?n,2.3,knapp gut
76,Boob,gr?n,2.3,knapp gut
77,kite-kids,gr?n,2.3,knapp gut
78,VAUDE,gr?n,2.4,knapp gut
79,Switcher,gr?n,2.4,knapp gut
79,Marlowe Nature,gr?n,2.4,knapp gut
79,hanf & natur,gr?n,2.4,knapp gut
79,Rosy Green Wool,gr?n,2.4,knapp gut
79,MAY YOU BE HAPPY,gr?n,2.4,knapp gut
79,firle und franz,gr?n,2.4,knapp gut
85,Saling Naturprodukte,gr?n,2.4,knapp gut
86,Opus,gr?n,2.4,knapp gut
87,bibico,gr?n,2.4,knapp gut
87,iobio (Popolini),gr?n,2.4,knapp gut
89,Jack Wolfskin,gr?n,2.4,knapp gut
90,Nudie Jeans,gr?n,2.4,knapp gut
91,Engel Naturtextilien,gr?n,2.4,knapp gut
92,Fielmann,gr?n,2.4,knapp gut
93,Treches,gr?n,2.4,knapp gut
94,PureNature,gr?n,2.5,knapp gut
95,Natureline,gr?n,2.5,knapp gut
96,Woodlike,gr?n,2.5,knapp gut
97,CASIO,gr?n,2.5,knapp gut
98,Komodo,gr?n,2.5,knapp gut
98,Alchemist,gr?n,2.5,knapp gut
98,monkee,gr?n,2.5,knapp gut
98,Casafeli,gr?n,2.5,knapp gut
102,Gebr. Otto,gr?n,2.5,knapp gut
103,Cheap Monday,gr?n,2.5,knapp gut
104,Timberland,gr?n,2.5,knapp gut
105,TRIGEMA,gr?n,2.5,knapp gut
106,LamuLamu,gr?n,2.5,knapp gut
106,Runners Point,gr?n,2.5,knapp gut
106,Rel?x,gr?n,2.5,knapp gut
106,Globetrotter Travel,gr?n,2.5,knapp gut
106,W?hrl,gr?n,2.5,knapp gut
106,CHM Consequent,gr?n,2.5,knapp gut
106,Vivanda,gr?n,2.5,knapp gut
106,PUNCH,gr?n,2.5,knapp gut
114,Deuter Sport,gelb,2.6,mittelm??ig
115,Tchibo,gelb,2.7,mittelm??ig
116,Kaufhof,gelb,2.8,mittelm??ig
117,Monsoon Accessorize,gelb,2.8,mittelm??ig
118,Patagonia,gelb,2.8,mittelm??ig
119,H & M Hennes & Mauritz,gelb,2.8,mittelm??ig
120,Deichmann,gelb,2.8,mittelm??ig
121,Urban Outfitters,gelb,2.9,mittelm??ig
122,Hoya,gelb,2.9,mittelm??ig
123,Puma,gelb,2.9,mittelm??ig
124,Carhartt,gelb,2.9,mittelm??ig
125,Intersport,gelb,3,mittelm??ig
126,Hanesbrands,gelb,3.1,mittelm??ig
127,skechers,gelb,3.1,mittelm??ig
128,BUFFALO,gelb,3.1,mittelm??ig
129,Adidas,gelb,3.1,mittelm??ig
130,Manufactum,gelb,3.1,mittelm??ig
131,Gap,gelb,3.1,mittelm??ig
132,Phillips-Van Heusen,gelb,3.1,mittelm??ig
133,Helly Hansen,gelb,3.1,mittelm??ig
134,Birkenstock,gelb,3.2,mittelm??ig
135,Champion,gelb,3.2,mittelm??ig
136,C&A,gelb,3.2,mittelm??ig
137,K2,gelb,3.3,mittelm??ig
138,Kuyichi,gelb,3.3,mittelm??ig
139,Swatch,gelb,3.3,mittelm??ig
140,Nike,gelb,3.4,mittelm??ig
141,CALIDA,gelb,3.4,mittelm??ig
141,Max,gelb,3.4,mittelm??ig
141,Frank & Faith,gelb,3.4,mittelm??ig
141,Preciosa,gelb,3.4,mittelm??ig
141,THTC,gelb,3.4,mittelm??ig
146,G-Star,gelb,3.4,mittelm??ig
147,Versandhaus Wenz,gelb,3.4,mittelm??ig
148,WE Fashion,gelb,3.4,mittelm??ig
149,Mammut,gelb,3.5,mittelm??ig
149,Jackpot,gelb,3.5,mittelm??ig
,,,2.295333333,
,,,,
Das Ranking aller Unternehmen finden Sie im zweiten und dritten Tabellenblatt. Nutzung ausschlie?lich unter Beachtung der Lizenzbedingungen.,,,,
