WeGreen Nachhaltigkeits-Ranking: Beste Unternehmen,,,,
Branche Bank & Versicherungen,,,,
Erstellt am 22.02.2014,,,,
,,,,
Rang,Unternehmen,Farbe,Note,Bewertung
1,Forest Finance,gr?n,1.8,gut
2,Triodos Bank,gr?n,1.8,gut
3,Ita?sa,gr?n,1.9,gut
4,GLS Bank,gr?n,2,gut
5,Deutsche Rentenversicherung Knappschaft-Bahn-See,gr?n,2.1,gut
5,Verband der Sparda-Banken,gr?n,2.1,gut
7,Prudential Financial,gr?n,2.1,gut
8,ANZ,gr?n,2.2,gut
9,AOK,gr?n,2.2,gut
10,MetLife,gr?n,2.2,gut
11,Swiss Reinsurance,gr?n,2.4,knapp gut
12,Techniker Krankenkasse,gr?n,2.4,knapp gut
13,B?rseGo,gr?n,2.5,knapp gut
14,UmweltBank,gr?n,2.5,knapp gut
14,Frankfurter Sparkasse,gr?n,2.5,knapp gut
14,Z?rcher Kantonalbank,gr?n,2.5,knapp gut
17,SEB,gelb,2.7,mittelm??ig
18,AEGON,gelb,2.8,mittelm??ig
19,Harris Bank,gelb,2.8,mittelm??ig
20,Raiffeisen Zentralbank ?sterreich AG RZB,gelb,2.8,mittelm??ig
21,PNC ,gelb,2.8,mittelm??ig
22,DZ Bank,gelb,2.9,mittelm??ig
23,HypoVereinsbank,gelb,3.1,mittelm??ig
24,LBBW,gelb,3.1,mittelm??ig
25,R+V-Konzern,gelb,3.1,mittelm??ig
26,ING-DiBa,gelb,3.1,mittelm??ig
27,Royal Bank of Scotland,gelb,3.1,mittelm??ig
28,KfW Bankengruppe,gelb,3.2,mittelm??ig
29,TARGOBANK,gelb,3.2,mittelm??ig
30,HSBC,gelb,3.3,mittelm??ig
31,Visa,gelb,3.4,mittelm??ig
32,Sparkasse Saarbr?cken,gelb,3.4,mittelm??ig
32,S?ddeutsche Krankenversicherung,gelb,3.4,mittelm??ig
34,N?rnberger Versicherungsgruppe,gelb,3.5,mittelm??ig
35,American Express,gelb,3.5,mittelm??ig
36,Banco Santander,gelb,3.5,mittelm??ig
37,Allianz,gelb,3.6,schwach
38,Citigroup,gelb,3.6,schwach
39,Commerzbank,gelb,3.7,schwach
40,Munich Re,gelb,3.7,schwach
41,NRW.Bank,gelb,3.7,schwach
42,Union Investment,gelb,3.7,schwach
43,UBS,gelb,3.8,schwach
44,WestLB,gelb,3.8,schwach
45,Aviva,gelb,3.8,schwach
46,Zurich Financial Services AG,gelb,3.8,schwach
47,BARMER,gelb,3.8,schwach
48,Bayerische Landesbank,gelb,3.9,schwach
49,Deutsche B?rse,gelb,4,schwach
50,SunTrust Banks,gelb,4.1,schwach
51,Standard Life,gelb,4.2,schwach
52,DAK,rot,4.3,sehr schwach
53,Deutsche Bank,rot,4.3,sehr schwach
54,Barclays Bank,rot,4.4,sehr schwach
55,Landesbank Berlin,rot,4.5,sehr schwach
56,Zurich Gruppe,rot,4.5,sehr schwach
57,MasterCard,rot,4.5,sehr schwach
58,Talanx,rot,4.5,sehr schwach
59,Hypo Real Estate,rot,4.5,sehr schwach
59,Landesbank Hessen-Th?ringen,rot,4.5,sehr schwach
61,Haspa,rot,4.6,schlecht
62,HUK-Coburg Versicherungsgruppe,rot,4.6,schlecht
62,Debeka Versicherungen,rot,4.6,schlecht
62,Signal Iduna,rot,4.6,schlecht
62,Versicherungskammer Bayern,rot,4.6,schlecht
66,Axa,rot,4.6,schlecht
67,ING,rot,4.6,schlecht
68,Deutsche Postbank,rot,4.6,schlecht
69,HSH Nordbank,rot,4.6,schlecht
70,W?stenrot & W?rttembergische,rot,4.7,schlecht
,,,3.445714286,
,,,,
Das Ranking aller Unternehmen finden Sie im zweiten und dritten Tabellenblatt. Nutzung ausschlie?lich unter Beachtung der Lizenzbedingungen.,,,,
