WeGreen Nachhaltigkeits-Ranking: Beste Unternehmen,,,,
Branche Autohersteller,,,,
Erstellt am 22.02.2014,,,,
,,,,
Rang,Unternehmen,Farbe,Note,Bewertung
1,Smart,gr?n,2.5,knapp gut
2,Chevrolet,gelb,2.6,mittelm??ig
2,Infiniti,gelb,2.6,mittelm??ig
4,Citro?n,gelb,2.6,mittelm??ig
5,Volkswagen,gelb,2.6,mittelm??ig
6,Maserati,gelb,2.7,mittelm??ig
6,Cadillac,gelb,2.7,mittelm??ig
8,BMW,gelb,2.8,mittelm??ig
9,Audi,gelb,2.8,mittelm??ig
10,Rolls-Royce,gelb,2.9,mittelm??ig
11,Fiat,gelb,3,mittelm??ig
12,Mercedes-Benz,gelb,3.1,mittelm??ig
13,Toyota,gelb,3.2,mittelm??ig
14,Peugeot,gelb,3.3,mittelm??ig
15,HUMMER,gelb,3.3,mittelm??ig
15,Lamborghini,gelb,3.3,mittelm??ig
17,Kia,gelb,3.5,mittelm??ig
18,Bentley,gelb,3.5,mittelm??ig
19,Seat,gelb,3.5,mittelm??ig
20,Daimler,gelb,3.6,schwach
21,Jaguar,gelb,3.7,schwach
22,Honda,gelb,3.7,schwach
23,Skoda,gelb,3.7,schwach
24,Ford,gelb,3.7,schwach
25,Suzuki,gelb,3.7,schwach
26,Hyundai,gelb,3.8,schwach
27,Saab,gelb,3.8,schwach
28,Renault,gelb,3.8,schwach
29,Chrysler,gelb,4,schwach
30,Dacia,gelb,4.1,schwach
31,Land Rover,rot,4.3,sehr schwach
32,Porsche,rot,4.3,sehr schwach
33,Jeep,rot,4.3,sehr schwach
34,General Motors,rot,4.6,schlecht
35,Aston Martin,rot,4.6,schlecht
36,Opel ,rot,4.8,schlecht
37,Vauxhall,rot,4.8,schlecht
,,,,
Das Ranking aller Unternehmen finden Sie im zweiten und dritten Tabellenblatt. Nutzung ausschlie?lich unter Beachtung der Lizenzbedingungen.,,,,
