WeGreen Nachhaltigkeits-Ranking: Beste Unternehmen,,,,
Branche Computer & Elektronik,,,,
Erstellt am 22.02.2014,,,,
,,,,
Rang,Unternehmen,Farbe,Note,Bewertung
1,ProMarkt,gr?n,1,sehr gut
2,AGFA,gr?n,1.6,gut
3,Flashpoint,gr?n,1.8,gut
4,Vorwerk,gr?n,1.9,gut
5,BRITA,gr?n,2.2,gut
6,DeLonghi,gr?n,2.2,gut
6,Gorenje,gr?n,2.2,gut
8,VILEDA,gr?n,2.2,gut
9,CODEMASTERS,gr?n,2.2,gut
10,HOTPOINT,gr?n,2.2,gut
11,SAP,gr?n,2.3,knapp gut
12,Lexmark International,gr?n,2.4,knapp gut
13,Miele,gr?n,2.4,knapp gut
14,Wipro,gr?n,2.4,knapp gut
15,BSH Hausger?te,gr?n,2.4,knapp gut
16,Adobe Systems ,gr?n,2.4,knapp gut
17,Intel,gr?n,2.5,knapp gut
18,Astragon,gr?n,2.5,knapp gut
19,SAS Institute,gr?n,2.5,knapp gut
20,CASIO,gr?n,2.5,knapp gut
21,EURONICS,gr?n,2.5,knapp gut
21,Software,gr?n,2.5,knapp gut
23,Tchibo,gelb,2.7,mittelm??ig
24,Symantec,gelb,2.7,mittelm??ig
25,Compaq,gelb,2.7,mittelm??ig
26,Kaufhof,gelb,2.8,mittelm??ig
27,Pioneer,gelb,2.9,mittelm??ig
28,Sony Ericsson,gelb,2.9,mittelm??ig
29,Advanced Micro Devices AMD,gelb,2.9,mittelm??ig
30,Siemens,gelb,2.9,mittelm??ig
31,General Electric,gelb,2.9,mittelm??ig
32,Nokia,gelb,3,mittelm??ig
33,SANYO,gelb,3,mittelm??ig
34,Dell,gelb,3,mittelm??ig
35,SonyEricsson,gelb,3,mittelm??ig
36,MEDION,gelb,3.1,mittelm??ig
37,Haier,gelb,3.1,mittelm??ig
38,Yamaha,gelb,3.1,mittelm??ig
39,AEG,gelb,3.1,mittelm??ig
40,Whirlpool,gelb,3.2,mittelm??ig
41,Cisco,gelb,3.2,mittelm??ig
42,Fujitsu,gelb,3.3,mittelm??ig
43,Motorola ,gelb,3.3,mittelm??ig
44,HP,gelb,3.3,mittelm??ig
45,O2 online,gelb,3.4,mittelm??ig
46,VARTA,gelb,3.4,mittelm??ig
46,SAMSUNG JAPAN,gelb,3.4,mittelm??ig
48,Philips,gelb,3.4,mittelm??ig
49,Xerox,gelb,3.4,mittelm??ig
50,Osram,gelb,3.5,mittelm??ig
51,Panasonic,gelb,3.5,mittelm??ig
52,Apple,gelb,3.5,mittelm??ig
53,Activision Blizzard,gelb,3.6,schwach
54,Sony,gelb,3.6,schwach
55,Nikon,gelb,3.6,schwach
56,Acer,gelb,3.6,schwach
57,LG,gelb,3.6,schwach
58,LG Electronics,gelb,3.7,schwach
59,Kodak,gelb,3.7,schwach
59,famila Handelsmarkt,gelb,3.7,schwach
61,Western Digital,gelb,3.7,schwach
62,Microsoft,gelb,3.7,schwach
63,Canon,gelb,3.8,schwach
64,Oracle,gelb,3.8,schwach
65,IBM,gelb,3.8,schwach
66,Robert Bosch,gelb,3.9,schwach
67,HTC,gelb,3.9,schwach
68,Lenovo,gelb,3.9,schwach
69,Mitsubishi,gelb,4,schwach
70,Grundig,gelb,4,schwach
71,TomTom,gelb,4,schwach
72,Electronic Arts,gelb,4,schwach
73,Liebherr,gelb,4,schwach
74,Olympus,gelb,4,schwach
75,Hitachi,gelb,4,schwach
76,Samsung,gelb,4.1,schwach
77,Toshiba,gelb,4.2,schwach
78,Sharp,gelb,4.2,schwach
79,Kenwood,gelb,4.2,schwach
80,Quelle,gelb,4.2,schwach
81,Sennheiser,gelb,4.2,schwach
81,famila-nordwest24.de,gelb,4.2,schwach
81,WMF,gelb,4.2,schwach
84,Fujitsu,rot,4.3,sehr schwach
85,Epson,rot,4.3,sehr schwach
86,Belkin,rot,4.3,sehr schwach
87,Garmin,rot,4.4,sehr schwach
88,BlackBerry,rot,4.6,schlecht
89,Nintendo,rot,4.6,schlecht
90,JVC,rot,4.7,schlecht
91,Brother,rot,4.8,schlecht
92,Braun,rot,5,schlecht
93,Bauknecht,rot,5,schlecht
94,Krups,rot,5.2,schlecht
95,Logitech,rot,5.2,schlecht
96,Asus,rot,5.4,schlecht
96,Tefal,rot,5.4,schlecht
,,,3.409278351,
,,,,
Das Ranking aller Unternehmen finden Sie im zweiten und dritten Tabellenblatt. Nutzung ausschlie?lich unter Beachtung der Lizenzbedingungen.,,,,
