WeGreen Nachhaltigkeits-Ranking: Beste Unternehmen,,,,
Branche DAX 30,,,,
Erstellt am 22.02.2014,,,,
,,,,
Rang,Unternehmen,Farbe,Note,Bewertung
1,Henkel,gr?n,2.2,gut
2,SAP,gr?n,2.3,knapp gut
3,Fresenius,gr?n,2.4,knapp gut
4,Volkswagen,gelb,2.6,mittelm??ig
5,BASF,gelb,2.7,mittelm??ig
6,BMW,gelb,2.8,mittelm??ig
7,K+S,gelb,2.8,mittelm??ig
8,Siemens,gelb,2.9,mittelm??ig
9,E.ON,gelb,3.1,mittelm??ig
10,Bayer,gelb,3.1,mittelm??ig
11,Linde,gelb,3.1,mittelm??ig
12,Adidas,gelb,3.1,mittelm??ig
13,Deutsche Telekom,gelb,3.2,mittelm??ig
14,Merck,gelb,3.2,mittelm??ig
15,Deutsche Post,gelb,3.2,mittelm??ig
16,Lanxess,gelb,3.4,mittelm??ig
17,Deutsche Lufthansa,gelb,3.5,mittelm??ig
18,Allianz,gelb,3.6,schwach
19,Daimler,gelb,3.6,schwach
20,Continental,gelb,3.7,schwach
21,Commerzbank,gelb,3.7,schwach
22,Munich Re,gelb,3.7,schwach
23,RWE,gelb,3.8,schwach
24,HeidelbergCement,gelb,3.8,schwach
25,Beiersdorf,gelb,3.9,schwach
26,Deutsche B?rse,gelb,4,schwach
27,Fresenius Medical Care,gelb,4.1,schwach
28,Thyssen Krupp,rot,4.3,sehr schwach
29,Deutsche Bank,rot,4.3,sehr schwach
30,Infineon,rot,4.5,sehr schwach
,,,3.353333333,
,,,,
Das Ranking aller Unternehmen finden Sie im zweiten und dritten Tabellenblatt. Nutzung ausschlie?lich unter Beachtung der Lizenzbedingungen.,,,,
