WeGreen Nachhaltigkeits-Ranking: Beste Unternehmen,,,,
Branche Haus & Garten,,,,
Erstellt am 22.02.2014,,,,
,,,,
Rang,Unternehmen,Farbe,Note,Bewertung
1,Blue Engineer(-ing),gr?n,1,sehr gut
1,Synarchitects,gr?n,1,sehr gut
3,DAW,gr?n,1.5,sehr gut
4,MAKITA,gr?n,1.5,sehr gut
5,toom Baumarkt,gr?n,1.5,sehr gut
6,Hornbach,gr?n,2,gut
7,HNI,gr?n,2,gut
8,toom Markt,gr?n,2.1,gut
9,Baumit,gr?n,2.5,knapp gut
9,D?mmfabrik,gr?n,2.5,knapp gut
9,Fertigbeton Anhalt,gr?n,2.5,knapp gut
9,Haacke Haus,gr?n,2.5,knapp gut
13,Baufritz,gr?n,2.5,knapp gut
13,Naturhaus,gr?n,2.5,knapp gut
13,Fleurop,gr?n,2.5,knapp gut
16,Globus,gelb,2.6,mittelm??ig
17,SK Engineering & Construction,gelb,2.8,mittelm??ig
18,Black & Decker,gelb,2.8,mittelm??ig
19,Max Bahr,gelb,2.8,mittelm??ig
20,Villeroy & Boch,gelb,3,mittelm??ig
21,BAUHAUS,gelb,3,mittelm??ig
22,Manufactum,gelb,3.1,mittelm??ig
23,Hochtief,gelb,3.2,mittelm??ig
24,OBI,gelb,3.3,mittelm??ig
25,Alpina Farben,gelb,3.4,mittelm??ig
25,Brillux,gelb,3.4,mittelm??ig
25,Alfred K?rcher,gelb,3.4,mittelm??ig
28,PRAKTIKER,gelb,3.7,schwach
29,famila Handelsmarkt,gelb,3.7,schwach
30,KBR,gelb,4.1,schwach
31,Quelle,gelb,4.2,schwach
32,famila-nordwest24.de,gelb,4.2,schwach
,,,2.7125,
,,,,
Das Ranking aller Unternehmen finden Sie im zweiten und dritten Tabellenblatt. Nutzung ausschlie?lich unter Beachtung der Lizenzbedingungen.,,,,
