WeGreen Nachhaltigkeits-Ranking: Beste Unternehmen,,,,
Branche K?rperpflege & Beauty,,,,
Erstellt am 22.02.2014,,,,
,,,,
Rang,Unternehmen,Farbe,Note,Bewertung
1,NATURTALENT?,gr?n,1.3,sehr gut
2,dm-drogerie markt,gr?n,1.3,sehr gut
3,variomondo,gr?n,1.4,sehr gut
3,Duftvilla,gr?n,1.4,sehr gut
5,Taoasis,gr?n,1.5,sehr gut
6,Hildegard-Naturprodukte,gr?n,1.5,sehr gut
7,MaM,gr?n,1.5,sehr gut
8,ecocelebration.de,gr?n,1.5,sehr gut
9,Dr. Bronner,gr?n,1.6,gut
10,Speick Naturkosmetik,gr?n,1.9,gut
11,Yves Rocher,gr?n,1.9,gut
12,CMD,gr?n,1.9,gut
13,PRIMAVERA LIFE,gr?n,1.9,gut
14,WELEDA,gr?n,2,gut
15,Belmar-cosmetics,gr?n,2,gut
16,veravita,gr?n,2.1,gut
17,niceshops,gr?n,2.1,gut
18,Stop The Water While Using Me!,gr?n,2.2,gut
19,Henkel,gr?n,2.2,gut
20,Pangea Organics,gr?n,2.2,gut
21,The Body Shop,gr?n,2.3,knapp gut
22,Martina Gebhardt,gr?n,2.3,knapp gut
23,mycalm,gr?n,2.3,knapp gut
24,Marlowe Nature,gr?n,2.4,knapp gut
24,hanf & natur,gr?n,2.4,knapp gut
24,amaiva Naturprodukte,gr?n,2.4,knapp gut
27,Saling Naturprodukte,gr?n,2.4,knapp gut
28,Farfalla,gr?n,2.4,knapp gut
29,Febreze,gr?n,2.4,knapp gut
30,Colgate-Palmolive,gr?n,2.4,knapp gut
31,Pampers,gr?n,2.4,knapp gut
31,Pantene Pro-V,gr?n,2.4,knapp gut
33,PureNature,gr?n,2.5,knapp gut
34,Nivea,gr?n,2.5,knapp gut
34,Old Spice,gr?n,2.5,knapp gut
36,Douglas,gr?n,2.5,knapp gut
36,Budnikowsky,gr?n,2.5,knapp gut
36,Vivanda,gr?n,2.5,knapp gut
39,Clinique,gelb,2.6,mittelm??ig
40,T-Systems,gelb,2.6,mittelm??ig
41,Estee Lauder ,gelb,2.6,mittelm??ig
42,L'Or?al,gelb,2.7,mittelm??ig
43,Herbal Essences,gelb,2.7,mittelm??ig
44,Dr.Hauschka,gelb,2.7,mittelm??ig
45,Kaufhof,gelb,2.8,mittelm??ig
46,Rossmann,gelb,2.8,mittelm??ig
47,M?ller,gelb,2.9,mittelm??ig
48,Sodasan,gelb,3.1,mittelm??ig
49,Adidas,gelb,3.1,mittelm??ig
50,Manufactum,gelb,3.1,mittelm??ig
51,Lavera,gelb,3.3,mittelm??ig
52,SONETT,gelb,3.4,mittelm??ig
53,Dove,gelb,3.5,mittelm??ig
54,Lush,gelb,3.5,mittelm??ig
55,Nivea for Men,gelb,3.5,mittelm??ig
55,Wella,gelb,3.5,mittelm??ig
57,Procter & Gamble,gelb,3.5,mittelm??ig
58,GlaxoSmithKline,gelb,3.6,schwach
59,Shiseido,gelb,3.7,schwach
60,Oral-B,gelb,3.8,schwach
61,Beiersdorf,gelb,3.9,schwach
62,Gucci,gelb,3.9,schwach
63,Benetton,gelb,4.2,schwach
64,Quelle,gelb,4.2,schwach
65,Armani,rot,4.3,sehr schwach
66,LE CLUB DES CR?ATEURS DE BEAUT?,rot,4.4,sehr schwach
67,Ihr Platz,rot,4.6,schlecht
68,Chanel,rot,4.6,schlecht
69,Schlecker,rot,4.7,schlecht
70,American Crew,rot,4.7,schlecht
71,Braun,rot,5,schlecht
,,,2.766197183,
,,,,
Das Ranking aller Unternehmen finden Sie im zweiten und dritten Tabellenblatt. Nutzung ausschlie?lich unter Beachtung der Lizenzbedingungen.,,,,
