WeGreen Nachhaltigkeits-Ranking: Beste Unternehmen,,,,
Branche Gesundheit,,,,
Erstellt am 22.02.2014,,,,
,,,,
Rang,Unternehmen,Farbe,Note,Bewertung
1,Baxter,gr?n,2.1,gut
2,Novo Nordisk,gr?n,2.1,gut
3,Abbott Laboratories,gr?n,2.2,gut
4,Eli Lilly,gr?n,2.2,gut
5,Genentech,gr?n,2.3,knapp gut
6,Johnson & Johnson,gr?n,2.3,knapp gut
7,BigGreenSmile,gr?n,2.3,knapp gut
8,Fresenius,gr?n,2.4,knapp gut
9,Vivantes,gr?n,2.5,knapp gut
10,Amgen,gr?n,2.5,knapp gut
11,Paul Hartmann,gr?n,2.5,knapp gut
11,Merz Pharma,gr?n,2.5,knapp gut
13,Roche,gelb,2.6,mittelm??ig
14,Schering - Plough,gelb,2.6,mittelm??ig
15,AstraZeneca,gelb,2.7,mittelm??ig
16,Sanofi-Aventis,gelb,2.9,mittelm??ig
17,Bristol-Myers Squibb,gelb,3,mittelm??ig
18,Bayer,gelb,3.1,mittelm??ig
19,Kimberly - Clark,gelb,3.2,mittelm??ig
20,Queisser Pharma,gelb,3.4,mittelm??ig
21,Lanxess,gelb,3.4,mittelm??ig
22,Procter & Gamble,gelb,3.5,mittelm??ig
23,GlaxoSmithKline,gelb,3.6,schwach
24,Pfizer,gelb,3.9,schwach
25,Boehringer Ingelheim,gelb,4,schwach
26,Fresenius Medical Care,gelb,4.1,schwach
27,Wyeth,gelb,4.1,schwach
28,Quelle,gelb,4.2,schwach
29,SCA Hygiene,rot,4.3,sehr schwach
30,ratiopharm,rot,4.3,sehr schwach
31,Sandoz Pharmaceuticals,rot,4.4,sehr schwach
32,Novartis,rot,4.4,sehr schwach
32,B. Braun Melsungen,rot,4.4,sehr schwach
34,HEXAL,rot,4.9,schlecht
,,,3.202941176,
,,,,
Das Ranking aller Unternehmen finden Sie im zweiten und dritten Tabellenblatt. Nutzung ausschlie?lich unter Beachtung der Lizenzbedingungen.,,,,
