WeGreen Nachhaltigkeits-Ranking: Beste Unternehmen,,,,
Branche Lebensmitteleinzelhandel,,,,
Erstellt am 22.02.2014,,,,
,,,,
Rang,Unternehmen,Farbe,Note,Bewertung
1,tegut,gr?n,1.3,sehr gut
2,Hofer,gr?n,1.8,gut
3,F?llhorn Biom?rkte,gr?n,1.8,gut
3,GODITA,gr?n,1.8,gut
5,SPAR,gr?n,2,gut
6,Coop,gr?n,2.2,gut
7,Alnatura,gr?n,2.3,knapp gut
8,Migros,gr?n,2.4,knapp gut
9,Penny,gr?n,2.5,knapp gut
10,basic,gr?n,2.5,knapp gut
11,REWE,gelb,2.6,mittelm??ig
12,ALDI SUISSE,gelb,2.6,mittelm??ig
13,Kaufhof,gelb,2.8,mittelm??ig
14,Carrefour,gelb,2.8,mittelm??ig
15,Norma,gelb,2.9,mittelm??ig
16,Kaufland,gelb,2.9,mittelm??ig
17,Whole Foods Market,gelb,2.9,mittelm??ig
18,Bio Company,gelb,3.2,mittelm??ig
19,J Sainsbury,gelb,3.5,mittelm??ig
20,Aldi Group,gelb,3.5,mittelm??ig
21,real,gelb,3.7,schwach
22,Marks & Spencer,gelb,3.7,schwach
23,METRO,gelb,3.7,schwach
24,Edeka,gelb,4.2,schwach
25,Quelle,gelb,4.2,schwach
26,Vinzenz Murr,rot,4.3,sehr schwach
27,Aldi S?d,rot,4.5,sehr schwach
28,Kaiser’s Tengelmann,rot,4.6,schlecht
29,Lidl,rot,4.7,schlecht
30,Lekkerland,rot,5,schlecht
31,Tesco,rot,5.2,schlecht
32,Aldi Nord,rot,5.3,schlecht
33,Netto,rot,5.3,schlecht
,,,3.293939394,
,,,,
Das Ranking aller Unternehmen finden Sie im zweiten und dritten Tabellenblatt. Nutzung ausschlie?lich unter Beachtung der Lizenzbedingungen.,,,,
