WeGreen Nachhaltigkeits-Ranking: Beste Unternehmen,,,,
Branche Telekommunikation,,,,
Erstellt am 22.02.2014,,,,
,,,,
Rang,Unternehmen,Farbe,Note,Bewertung
1,Telenet,gr?n,1.9,gut
2,BASE,gr?n,1.9,gut
2,Simyo,gr?n,1.9,gut
2,Ay Yildiz,gr?n,1.9,gut
5,Swisscom,gr?n,2.2,gut
6,Telstra,gr?n,2.2,gut
7,T-Mobile,gelb,2.6,mittelm??ig
8,BT,gelb,3,mittelm??ig
9,O2 Telef?nica,gelb,3.1,mittelm??ig
10,T-Mobile Austria,gelb,3.1,mittelm??ig
11,Deutsche Telekom,gelb,3.2,mittelm??ig
12,Skype,gelb,3.3,mittelm??ig
13,Vodafone,gelb,3.3,mittelm??ig
14,Verizon,gelb,3.4,mittelm??ig
15,E-Plus Mobilfunk,gelb,3.4,mittelm??ig
16,Kabel Deutschland,gelb,3.7,schwach
17,Tele2,gelb,3.8,schwach
18,1&1 Internet,rot,4.3,sehr schwach
19,Unitymedia,rot,4.4,sehr schwach
,,,2.978947368,
,,,,
Das Ranking aller Unternehmen finden Sie im zweiten und dritten Tabellenblatt. Nutzung ausschlie?lich unter Beachtung der Lizenzbedingungen.,,,,
