WeGreen Nachhaltigkeits-Ranking: Beste Unternehmen,,,,
Branche Tourismus,,,,
Erstellt am 22.02.2014,,,,
,,,,
Rang,Unternehmen,Farbe,Note,Bewertung
1,Saunders Hotel Group,gr?n,1.5,sehr gut
2,forum anders reisen,gr?n,1.8,gut
3,Manatee Amazon Explorer,gr?n,2,gut
4,MGM,gr?n,2,gut
5,Swiss Air,gr?n,2.1,gut
6,Swissport,gr?n,2.3,knapp gut
7,Marriott,gr?n,2.3,knapp gut
8,Accor,gr?n,2.3,knapp gut
9,Flughafen M?nchen,gr?n,2.4,knapp gut
10,Southwest Airlines,gr?n,2.5,knapp gut
11,Flughafen Hannover-Langenhagen,gr?n,2.5,knapp gut
11,Leipziger Verkehrsbetriebe,gr?n,2.5,knapp gut
11,Lufthansa Cargo AG,gr?n,2.5,knapp gut
14,Deutsche Bahn,gr?n,2.5,knapp gut
15,Flughafen K?ln/Bonn,gr?n,2.5,knapp gut
15,Steigenberger,gr?n,2.5,knapp gut
17,Emirates,gelb,2.6,mittelm??ig
18,Wyndham,gelb,2.6,mittelm??ig
19,Singapore Airlines Cargo SIA Cargo,gelb,2.7,mittelm??ig
20,Tchibo,gelb,2.7,mittelm??ig
21,US Airways,gelb,2.7,mittelm??ig
22,Fraport,gelb,2.8,mittelm??ig
23,?BB-Holding,gelb,2.8,mittelm??ig
24,Alaska Airlines,gelb,2.8,mittelm??ig
25,United Airlines,gelb,2.9,mittelm??ig
26,Bremer Stra?enbahn,gelb,2.9,mittelm??ig
27,TUI,gelb,2.9,mittelm??ig
28,British Airways,gelb,2.9,mittelm??ig
29,JetBlue,gelb,3,mittelm??ig
30,Rheinbahn AG,gelb,3,mittelm??ig
31,M?nchener Verkehrsgesellschaft,gelb,3,mittelm??ig
32,Continental Airlines,gelb,3.1,mittelm??ig
33,TAM,gelb,3.1,mittelm??ig
34,Hilton,gelb,3.1,mittelm??ig
35,Singapore Airlines,gelb,3.1,mittelm??ig
36,SkyWest,gelb,3.2,mittelm??ig
37,Dresdner Verkehrsbetriebe,gelb,3.2,mittelm??ig
38,Hyatt,gelb,3.2,mittelm??ig
39,KLM,gelb,3.2,mittelm??ig
40,Flughafen Wien,gelb,3.3,mittelm??ig
41,American Airlines,gelb,3.3,mittelm??ig
42,DERTOUR,gelb,3.3,mittelm??ig
43,Scandinavian Airlines System SAS,gelb,3.3,mittelm??ig
44,Air France,gelb,3.4,mittelm??ig
45,Cathay Pacific,gelb,3.4,mittelm??ig
46,Thomas Cook,gelb,3.5,mittelm??ig
47,Deutsche Lufthansa,gelb,3.5,mittelm??ig
48,Air Canada,gelb,3.5,mittelm??ig
48,Qantas,gelb,3.5,mittelm??ig
50,Delta Air Lines,gelb,3.5,mittelm??ig
51,easyJet,gelb,3.7,schwach
52,avenTOURa,gelb,3.7,schwach
53,hotel.de,gelb,3.7,schwach
54,Air China,gelb,3.8,schwach
55,Carlson,gelb,3.8,schwach
56,BVG,gelb,3.8,schwach
57,AirTran,gelb,4,schwach
58,Hapag-Lloyd,gelb,4.1,schwach
59,Expedia,gelb,4.2,schwach
60,Flughafen N?rnberg,gelb,4.2,schwach
60,Hamburger Hochbahn,gelb,4.2,schwach
60,M?venpick,gelb,4.2,schwach
63,Flughafen Berlin,rot,4.3,sehr schwach
63,Flughafen D?sseldorf,rot,4.3,sehr schwach
63,Maritim,rot,4.3,sehr schwach
63,Condor Flugdienst,rot,4.3,sehr schwach
67,Ryanair,rot,4.4,sehr schwach
68,Austrian Airlines,rot,4.5,sehr schwach
69,Fair Mundo Travel,rot,4.7,schlecht
70,Air Berlin,rot,5.4,schlecht
71,ExpressJet,rot,5.4,schlecht
72,Booking.com,rot,5.7,sehr schlecht
,,,3.276388889,
,,,,
Das Ranking aller Unternehmen finden Sie im zweiten und dritten Tabellenblatt. Nutzung ausschlie?lich unter Beachtung der Lizenzbedingungen.,,,,
