WeGreen Nachhaltigkeits-Ranking: Beste Unternehmen,,,,
Branche Medien & Unterhaltung,,,,
Erstellt am 22.02.2014,,,,
,,,,
Rang,Unternehmen,Farbe,Note,Bewertung
1,McGraw-Hill,gr?n,1.3,sehr gut
2,RedWood,gr?n,1.5,sehr gut
3,Daily Mail & General Trust,gr?n,1.5,sehr gut
4,Ascot Elite,gr?n,1.6,gut
5,ProSiebenSat.1 Media,gr?n,1.8,gut
5,QVC,gr?n,1.8,gut
7,Vivendi-Universal,gr?n,1.9,gut
8,RTL,gr?n,2,gut
9,Ecozone,gr?n,2.2,gut
10,Gruner + Jahr,gr?n,2.3,knapp gut
11,Pearson,gr?n,2.4,knapp gut
12,BLV,gr?n,2.5,knapp gut
13,Radio Bremen,gr?n,2.5,knapp gut
13,RADIO/TELE FFH,gr?n,2.5,knapp gut
13,Sky,gr?n,2.5,knapp gut
13,oekom verlag,gr?n,2.5,knapp gut
13,Suhrkamp Verlag,gr?n,2.5,knapp gut
13,Thalia,gr?n,2.5,knapp gut
13,TOMORROW FOCUS,gr?n,2.5,knapp gut
13,Klassik Radio,gr?n,2.5,knapp gut
13,Zeitverlag Gerd Bucerius,gr?n,2.5,knapp gut
13,N24,gr?n,2.5,knapp gut
13,n-tv,gr?n,2.5,knapp gut
24,S?ddeutscher Verlag,gelb,2.6,mittelm??ig
25,SPIEGEL-Verlag,gelb,2.6,mittelm??ig
25,Burda,gelb,2.6,mittelm??ig
27,WAZ,gelb,2.6,mittelm??ig
28,Virgin Media,gelb,2.7,mittelm??ig
29,Pixar Animation Studios,gelb,2.8,mittelm??ig
30,Universal Music,gelb,2.8,mittelm??ig
31,Axel Springer,gelb,2.8,mittelm??ig
32,News Corp,gelb,2.9,mittelm??ig
33,ARD,gelb,2.9,mittelm??ig
34,taz,gelb,2.9,mittelm??ig
35,National Geographic,gelb,3,mittelm??ig
36,Time Warner,gelb,3,mittelm??ig
37,FOCUS Magazin,gelb,3.1,mittelm??ig
37,MDR,gelb,3.1,mittelm??ig
39,Verlagsgruppe Georg von Holtzbrinck,gelb,3.3,mittelm??ig
40,Trinity Mirror,gelb,3.4,mittelm??ig
41,CBS,gelb,3.4,mittelm??ig
42,NDR,gelb,3.4,mittelm??ig
43,eBay,gelb,3.6,schwach
44,EMI Music,gelb,3.6,schwach
45,Bertelsmann,gelb,3.6,schwach
46,Walt Disney,gelb,3.6,schwach
47,WDR,gelb,3.7,schwach
48,Hessischer Rundfunk,gelb,3.7,schwach
48,Studio Babelsberg,gelb,3.7,schwach
48,Stuttgarter Zeitung,gelb,3.7,schwach
51,Ravensburger,gelb,3.8,schwach
52,British Sky Broadcasting BSkyB,gelb,3.9,schwach
53,Fortune Brands,gelb,3.9,schwach
54,Quelle,gelb,4.2,schwach
55,Viacom,gelb,4.2,schwach
56,RTL 2,gelb,4.2,schwach
56,Libri,gelb,4.2,schwach
56,Bayerischer Rundfunk,gelb,4.2,schwach
56,ZDF,gelb,4.2,schwach
60,Frankfurter Allgemeine Zeitung,rot,4.3,sehr schwach
60,Handelsblatt,rot,4.3,sehr schwach
60,Weltbild,rot,4.3,sehr schwach
60,M. DuMont Schauberg,rot,4.3,sehr schwach
64,Ernst Klett Verlag,rot,4.3,sehr schwach
65,ORF,rot,4.4,sehr schwach
65,Coppenrath Verlag,rot,4.4,sehr schwach
67,Madsack,rot,4.5,sehr schwach
67,Berliner Verlag,rot,4.5,sehr schwach
69,Amazon,rot,4.6,schlecht
70,Playboy,rot,4.9,schlecht
71,Cosmopolitan,rot,5.5,schlecht
71,Marie Claire,rot,5.5,schlecht
,,,3.222222222,
,,,,
Das Ranking aller Unternehmen finden Sie im zweiten und dritten Tabellenblatt. Nutzung ausschlie?lich unter Beachtung der Lizenzbedingungen.,,,,
